"insee","id_sdis","id_gestion","ref_terr","type_pei","diam_pei","diam_cana","date_mes","situation","press_stat","press_dyn","debit","date_ct","deci","prec","x","y","lon","lat"
"74010","78647","GRAND ANNECY","286BIS","PI",100,"100","2005-12-01","CHEMIN DE COMBADIEU",4.4,2.6,60,"2023-03-27","OUI","05",946581.09,6540572.84,6.18234,45.92012
"74010","64358","GRAND ANNECY","287","PI",100,"100","1968-01-01","N°16 (ROUTE DEPARTEMENTALE)",4.8,4.3,60,"2023-03-27","OUI","05",946984.85,6540396.78,6.18745,45.91839
"74010","80865","GRAND ANNECY","287BIS","PI",100,"100","1991-01-01","RUE CHANTERELLE",7.2,6,60,"2023-03-27","OUI","05",945905.75,6540998.06,6.17385,45.92419
"74010","79297","GRAND ANNECY","288","PI",100,"100","1984-01-01","ROUTE DE NAVES",11.5,7.8,60,"2023-03-27","OUI","01",946102.8,6541318.99,6.17656,45.92701
"74010","64222","GRAND ANNECY","289","PI",100,"100","1978-04-07","RUE DU GRAND ESSERT",4.5,3.4,60,"2023-03-28","OUI","01",945913.26,6540543.15,6.17371,45.9201
"74010","6282213","GRAND ANNECY","289BIS","PI",100,"100","2020-02-07","RUE DU PLAN DE SAGRAN",3.4,2.4,60,"2023-03-28","OUI","01",945804.75,6540434.98,6.17226,45.91916
"74010","74920","GRAND ANNECY","290","PI",100,"100","1978-01-01","CHEMIN DES LANCHES",3.8,2.5,60,"2023-03-28","OUI","01",946055.75,6540480.78,6.17552,45.91948
"74010","64357","GRAND ANNECY","291","PI",100,"100","1978-01-01","RUE DU GRAND ESSERT",3.6,2.8,60,"2023-03-28","OUI","01",946373.05,6540551.52,6.17964,45.92001
"74010","79298","GRAND ANNECY","292","PI",100,"100","1997-01-01","RUE DES BOUVIERES",7.5,6.7,60,"2023-03-28","OUI","05",945750.62,6541286.93,6.172,45.92685
"74010","64219","GRAND ANNECY","293","PI",100,"100","1982-01-01","RUE DES BOUVIERES",9.4,8.2,60,"2023-03-28","OUI","05",945534.59,6541338.51,6.16924,45.92739
"74010",NULL,"GRAND ANNECY","293BIS","PI",NULL,"125","2024-04-03",NULL,NULL,NULL,NULL,NULL,"OUI","01",945489.14,6541355.12,6.16866,45.92756
"74010","79137","GRAND ANNECY","294","PI",100,"100","1972-01-01","AVENUE DU PRE DE CHALLES",9.7,8.7,60,"2023-03-28","OUI","01",945449.81,6541483.08,6.16822,45.92872
"74010","64372","GRAND ANNECY","295","PI",100,"100","1982-01-01","AVENUE DU PRE DE CHALLES",9.8,8.9,60,"2023-03-28","OUI","01",945454.34,6541599.73,6.16834,45.92977
"74010","81146","GRAND ANNECY","295BIS","PI",100,"100","1995-01-01","AVENUE DU PRE CLOSET",9.5,8.8,60,"2023-03-29","OUI","05",945581.19,6541628.48,6.16999,45.92998
"74010","74924","GRAND ANNECY","295QTER","PI",100,"100","2000-01-01","IMPASSE DES PRAIRIES",10,8.7,60,"2023-03-29","OUI","01",945476.2,6541928.67,6.16879,45.93272
"74010","74923","GRAND ANNECY","295TER","PI",100,"100","1998-01-01","AVENUE DU PRE CLOSET",9.4,8.8,60,"2023-03-29","OUI","01",945607.88,6541823.82,6.17044,45.93173
